Change,Charge,Unbalanced Atoms,Rxn Eq. Before,Rxn Eq. After,Metabolite Changes,Reaction Parts Before (May be missing some),Source,Support ,Analogous Rxn,Reaction Balanced Fully?,Initial,Date,From? *mass balanced (not charge/matches model seed)
PA14_Biomass,charge -1.3216778399999585,H-78.2672207200004 O-14.333115749999846 C-41.93292846999998 N-10.021227199999942 P0.4286072399999712 S-0.114475 R-0.053367 Fe-0.0001 No-0.00669196,0.0001 cJB00125_c + 0.0013602 cPY00124_c + 0.0030243 cPY00129_c + 0.00079222 cPY00132_c + 0.0015844 cPY00135_c + 0.00053681 cPY00138_c + 0.00097843 cPY00140_c + 59.81 cpd00001_c + 59.81 cpd00002_c + 0.10146 cpd00018_c + 0.22687 cpd00023_c + 0.0001 cpd00028_c + 0.31256 cpd00033_c + 0.43461 cpd00035_c + 0.10776 cpd00039_c + 0.19864 cpd00041_c + 0.19949 cpd00046_c + 0.28443 cpd00051_c + 0.16033 cpd00053_c + 0.20723 cpd00054_c + 0.076901 cpd00060_c + 0.055748 cpd00065_c + 0.13212 cpd00066_c + 0.094418 cpd00069_c + 0.037574 cpd00084_c + 0.10137 cpd00091_c + 0.46321 cpd00107_c + 0.56945 cpd00118_c + 0.081188 cpd00119_c + 0.0001 cpd00125_c + 0.19942 cpd00126_c + 0.18965 cpd00129_c + 0.098829 cpd00132_c + 2.5e-05 cpd00155_c + 0.25557 cpd00156_c + 0.15734 cpd00161_c + 0.031422 cpd00206_c + 0.015972 cpd00294_c + 0.031422 cpd00296_c + 0.015972 cpd00298_c + 0.15583 cpd00322_c + 0.0078591 cpd15428_c + 0.0041649 cpd15429_c + 0.00037815 cpd15430_c + 0.011889 cpd15431_c + 0.047824 cpd15531_c + 0.020287 cpd15532_c + 0.0020692 cpd15533_c + 0.068198 cpd15534_c + 0.012557 cpd15538_c + 0.0037982 cpd15539_c + 0.00042166 cpd15540_c + 0.011557 cpd15541_c + 0.053367 cpd15665_c + 0.025523 cpd17066_c --> 59.81 cpd00008_c + 59.81 cpd00009_c + 0.69653 cpd00012_c + 59.81 cpd00067_c,,,H2O ATP AMP L-Glutamate Heme Glycine L-Alanine L-Lysine L-Aspartate CMP L-Arginine L-Glutamine L-Serine L-Methionine L-Tryptophan L-Phenylalanine L-Tyrosine L-Cysteine UMP L-Leucine Putrescine L-Histidine 5-10-Methylenetetrahydrofolate GMP L-Proline L-Asparagine Glycogen L-Valine L-Threonine dCMP dAMP dGMP dTMP L-Isoleucine clpn160 clpn161 clpn180 clpn181 phosphatidylethanolamine_dihexadecanoyl phosphatidylethanolamine_dihexadec-9enoyl phosphatidylethanolamine_dioctadecanoyl phosphatidylethanolamine_dioctadec-11-enoyl Phosphatidylglycerol_dihexadecanoyl Phosphatidylglycerol_dihexadec-9-enoyl Phosphatidylglycerol_dioctadecanoyl Phosphatidylglycerol_dioctadec-11-enoyl Peptidoglycan polymer (n subunits) Pseudomonas aeruginosa Lipid A ADP Phosphate PPi H+,x,x,x,,JJ,July 5,ModelPA14
rJB00234,charge -1.0,,cpd00067_e + cpd00489_e <=> cpd00067_c + cpd00489_c,cpd00067_e + cpd00489_e <=> cpd00067_c + cpd00489_c,cpd00489_e is 0. Should be -1.,H+ 4-Hydroxyphenylacetate H+ 4-Hydroxyphenylacetate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC98904/,charge of cpd00489_c is 0. Should be -1. Also is rxn10559 in modelseed; Gene association seemed appropriate enough. This seems to have been identified first in e coli. Its just an orthologous gene association as the basis. ,rxn10559,,JJ,July 2,ModelPA14
rJB00273,charge 1.0,H1.0,2.0 cpd00418_c + cpd15561_c <=> cpd00001_c + cpd00659_c + cpd15560_c,2.0 cpd00418_c + cpd15561_c <=> cpd00001_c + cpd00659_c + cpd15560_c ,cpd00659_c formula NO2 with charge -1. ,NO Ubiquinol-8 H2O Nitrous oxide Ubiquinone-8,"EC 1.7.2.5? Couldn't find this specific reaction; https://www.brenda-enzymes.org/literature.php?e=1.7.2.5&r=726258; Also this reaction is the reverse of rxn10122 except it oxidizes nitric oxide. In addition, the reaction appears to only impact the periplasmic space. No mention of ability to transport into the cytoplasm. https://chemicalize.com/#/calculation says that nitrous oxide exist as a NO2 - at physiological pH. https://www.brenda-enzymes.org/literature.php?e=1.7.2.5&r=671883 says that this enzyme was catalyzed pH 6 - 8.5",Changed Formula for HN02 to NO2 -,,,JJ,June 21,ModelPA14
rJB00274,charge 1.0,H1.0,cJB00125_c + 2.0 cpd00418_c <=> cpd00001_c + cpd00659_c + cpd01351_c,cJB00125_c + 2.0 cpd00418_c <=> cpd00001_c + cpd00659_c + cpd01351_c ,cpd00659_c formula NO2 with charge -1. ,NO H2O Nitrous oxide Ubiquinone-9,"EC 1.7.2.5? Couldn't find this specific reaction; https://www.brenda-enzymes.org/literature.php?e=1.7.2.5&r=726258; Also this reaction is the reverse of rxn10122 except it oxidizes nitric oxide. In addition, the reaction appears to only impact the periplasmic space. No mention of ability to transport into the cytoplasm. https://chemicalize.com/#/calculation says that nitrous oxide exist as a NO2 - at physiological pH. https://www.brenda-enzymes.org/literature.php?e=1.7.2.5&r=671883 says that this enzyme was catalyzed pH 6 - 8.5",Changed Formula for HN02 to NO2 -,,,JJ,June 21,ModelPA14
rJB00275,charge 3.0,C-24.0 H-27.0 N-8.0 O-9.0,cpd06227_c -->,Remove,remove,THF-L-glutamate,https://www.genome.jp/dbget-bin/www_bget?pau:PA14_23880 <> https://www.genome.jp/dbget-bin/www_bget?rn:R00942 <> https://www.genome.jp/kegg-bin/show_pathway?map00790+C09332 <> http://www.pseudomonas.com:1555/PSEUDO/NEW-IMAGE?object=GLUTSYN-PWY,"Reaction is closed. <> does appear to be important in literature, just not in model <> links are related, but not the same. Given that this is accumulation, the reaction pathway on Kegg appears to relate to resistance  <> recommended to remove this reaction.",rxn06628,,JJ,July 3,ModelPA14
rJB00277,,H2.0,cpd00003_c + cpd00067_c + cpd00175_c <=> cpd00001_c + cpd00004_c + cpd17092_c,cpd00004_c  + cpd00175_c <=> cpd00001_c + cpd00003_c + cpd17092_c + cpd00067_c,"('cpd00175_c').formula = 'C17H27N3O17P2'
('cpd00175_c').charge = -2
('cpd17092_c').formula = 'C17H25N3O16P2'
('cpd17092_c').charge = -4",NAD H+ UDP-N-acetyl-D-galactosamine H2O NADH UDP-N-acetyl fucosamine,"http://www.jbc.org/content/280/20/19535.full, https://biocyc.org/META/NEW-IMAGE?type=NIL&object=PWY-7330, as written the reaction skips three intermediates, multiple inconsistencies <> Enzymes 4.2.1.115 and 1.1.1.367 are involved with the intermediates. https://chemicalize.com/#/calculation has formula at pH 7 for UDP-N-acetyl-D-galactosamine C17H27N3O17P2 and charge -2. ","5.1.3.28 possible; this enzyme catalyzes the L form of the amino acid, but our model lacks stereochemistry. Reaction summed from three sub reactions (epimerases,loss of H and addition of H hydroxyl group, etc).",,,JJ,June 20,ModelPA14
rJB00280,charge 1.0,C-6.0 H-11.0 O-7.0,cpd00222_e -->,cpd00222_c +  cpd00067_c + cpd00009_e + cpd00067_e -->  cpd00009_c + cpd00067_c + cpd00222_e +  cpd00067_e,"Might need to add Calcium into reaction since it is in media and part of the rock phosphate in uptake. Also since this is a demand? reaction, it might just be better to keep it the oringial way it was. ",GLCN,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4767421/ <> https://www.ncbi.nlm.nih.gov/pubmed/18996187,"This reaction is only important when iron is low or when the pseudomonas wants to release phosphate from the surrounding minerals <> unsure of what is appropriate when creating secretion reactions <> other reactions don't utilize this functionality ""high gluconic acid formation under mineral phosphate-solubilizing conditions is expected to be accompanied by significant perturbations in the glucose metabolism"". Solubilizes rock phosphate when rock phosphate concentrations are low via gluconic acid. Rock phosphate is Ca5P3O12F ",,,JJ,July 3,ModelPA14
rJB00281,charge 1.0,C-6.0 H-9.0 O-7.0,cpd00480_e -->,cpd00480_c +  cpd00067_c + cpd00009_e + cpd00067_e -->  cpd00009_c + cpd00067_c + cpd00480_e +  cpd00067_e,"Might need to add Calcium into reaction since it is in media and part of the rock phosphate in uptake. Also since this is a demand? reaction, it might just be better to keep it the oringial way it was. ",2-Dehydro-D-gluconate,https://link.springer.com/article/10.1007/s00284-002-3951-y,"Similar to rJB00280, this is used to sequester phosphate in enterobacteria <> ",,,JJ,July 3,ModelPA14
rJB00282,charge 1.0,C-1.0 H1.0 O2.0,cpd00005_c + cpd00017_c + cpd00084_c + cpd00599_c <=> cJB00126_c + 4.0 cpd00001_c + cpd00006_c + cpd00019_c,2 cpd00002_c + cpd00084_c + cpd00599_c + 2 cpd00001_c <=>  cJB00126_c + 3 cpd00067_c + 2 cpd00018_c + 4 cpd00009_c,cpd00017_c formula C15H22N6O5S charge 0.  cpd00006_c is -2 charge. ,NADPH S-Adenosyl-L-methionine L-Cysteine salicylate H2O NADP S-Adenosyl-homocysteine,"https://metacyc.org/META/NEW-IMAGE?type=PATHWAY&object=PWY-6408&detail-level=2# <> http://www.microbiologyresearch.org/docserver/fulltext/micro/144/11/mic-144-11-3135.pdf?expires=1530813878&id=id&accname=sgid024758&checksum=8ED67BDC2463D89D3F1372E52573A987 <> https://biocyc.org/compound?orgid=META&id=PANTETHEINE-P#tab=REG <> https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1574-6976.2006.00022.x <> https://www.ncbi.nlm.nih gov/pubmed/11489886 <> BIG PICTURE. Homocysteine and methionine are involved later in the pathway. They aren't utilized in this reaction. Before the 2nd L cysteinyl enters the metacyc pathway, Dha is already almost made. It just requires the hydrloysis of the bond as shown here (PG 11) http://www.microbiologyresearch.org/docserver/fulltext/micro/144/11/mic-144-11-3135.pdf?expires=1532715674&id=id&accname=guest&checksum=B091A571507F2E81FB9327B746605FE6","compares with rpy00220, but reaction goes to completion and makes pyochelin. many enzymatic components <> There has been considerable revision of minor parts in this reaction. I think it would be best to break this reaction down into three parts since it combines two L cysteinyl and Salicyl together, but modifies them before hand. Since there isn't a PCh compound in Modelseed you can't account for the missing carbon, because it leaves/donates with a protein (pCHX). Needs to form protein functional site (4'-phosphopantetheine), which attaches to PcHE<> attempted assmble consitutent reaction parts below. 
",,YES,JJ,July 5,ModelPA14
rJB00283,charge -1.0,H-3.0 O-1.0,cpd00001_c + cpd03118_c <=> cJB00127_c + cpd00010_c, cpd03118_c <=> cJB00127_c + cpd00010_c,"('cpd03118_c').formula = 'C31H49N7O18P3S'
('cpd03118_c').charge = -4
('cpd00010_c').formula = 'C21H32N7O16P3S'
('cpd00010_c').charge = -4",H2O (S)-Hydroxydecanoyl-CoA CoA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3807434/ <> chemicalize used to calculate Hydrogens at pH 7-7.3 <> this reaction both consumes and then uses water (elimination and addition) could be better suited to split iut up to represent theintermediate,cpd03118_c has 52 hydrogens <> cJb00127_c should be combined with cpd00010_c instead of being written as two products,,Charge imbalance -1,JJ,July 5,ModelPA14
rJB00284,charge -1.0,H-3.0 O-1.0,cpd00001_c + cpd11482_c <=> cJB00127_c + cpd11493_c,cpd11482_c <=> cJB00127_c + cpd11493_c,"('cpd11482_c').formula = 'C31H49N7O18P3S'
('cpd11482_c').charge = -4
('cpd00010_c').formula = 'C21H32N7O16P3S'
('cpd00010_c').charge = -4",H2O (R)-3-Hydroxydecanoyl-[acyl-carrier protein] ACP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3807434/,"same issues as the rjB00284, recommend combining the two products into a single reactant",,Charge imbalance -1,JJ,July 3,ModelPA14
rPY00162,charge 1.0,H-1.0,cpd15239_c + cpd15327_c --> cPY00120_c + cpd11493_c ,cpd15239_c + cpd15327_c --> cPY00120_c + cpd11493_c + cpd00067_c,"model.metabolites.get_by_id('cpd15327_c').formula = 'C19H37O7P'
model.metabolites.get_by_id('cpd15327_c').charge = -2
model.metabolites.get_by_id('cPY00120_c').formula = 'C35H66O8P1'
model.metabolites.get_by_id('cPY00120_c').charge = -1
model.metabolites.get_by_id('cpd11493_c').formula = 'C11H21N2O7PRS'
model.metabolites.get_by_id('cpd11493_c').charge = -1",Hexadecenoyl-ACP 1-hexadecanoyl-sn-glycerol_3-phosphate ACP,"https://biocyc.org/META/NEW-IMAGE? ,type=ENZYME&object=Palmitoyl-ACPs","This specific reaction was sourced from an iKF model. Couldn't find the model. Metacyc,modelseed,kegg didn't have this specific one tabulated. With that said this use seems to be appropriate given that this is associated with variable sized reagents. https://biocyc.org/META/NEW-IMAGE? ,type=ENZYME&object=Palmitoyl-ACPs , I added a hydrogen to balance the charge",,"
charge 1",JJ,June 21,ModelPA14
rPY00164,,H1.0,cPY00121_c + cpd00054_c  --> cPY00122_c + cpd00046_c ,cPY00121_c + cpd00054_c + cpd00067_c --> cPY00122_c + cpd00046_c ,,L-Serine CMP H+,https://www.genome.jp/dbget-bin/www_bget?rn:R01800 <> ,Pka and hydrogen problem,rxn09209/rxn09208,,JJ,July 3,ModelPA14
rPY00165,charge -1.0,,cPY00122_c + cpd00067_c --> cPY00123_c + cpd00011_c,,,H+ CO2,https://www.genome.jp/dbget-bin/www_bget?rn:R02055,Slight differences between Kegg and modelseed,rxn09200/rxn09201,,JJ,July 3,ModelPA14
rPY00166,,C-52.0 H-94.0 N-7.0 O-13.0 S-1.0 P-1.0 No1.0,cPY00123_c + cpd00017_c --> cPY00124_c + cpd00067_c,,,S-Adenosyl-L-methionine H+,https://www.genome.jp/dbget-bin/www_bget?rn:R00178 <> 2.1.1.79 <> ,"Possibly trying to make this reaction, but the product doesn't have a formula. Decarboxylase doesn't seem appropriate for what is being produced. I think the enzyme linked is more appropriate. ",,,JJ,July 3,ModelPA14
rPY00167,charge 1.0,H-1.0,cpd11825_c + cpd15329_c --> cPY00125_c + cpd11493_c,cpd11825_c + cpd15329_c --> cPY00125_c + cpd11493_c + cpd00067_c,,Octadecenoyl-ACP 1-octadecanoyl-sn-glycerol_3-phosphate ACP,"https://biocyc.org/META/NEW-IMAGE? ,type=ENZYME&object=Palmitoyl-ACPs","Similar to above, balanced with H+. ",,,JJ,June 21,ModelPA14
rPY00169,,H1.0,cPY00126_c + cpd00054_c --> cPY00127_c + cpd00046_c + cpd00067_c,,,L-Serine CMP H+,https://www.genome.jp/dbget-bin/www_bget?rn:R01800 <> ,Pka and hydrogen problem,rxn09210/rxn09211,,JJ,July 3,ModelPA14
rPY00170,charge -1.0,,cPY00127_c + cpd00067_c --> cPY00128_c + cpd00011_c,,,H+ CO2,https://www.genome.jp/dbget-bin/www_bget?rn:R02055,Slight differences between Kegg and modelseed,rxn09202/rxn09203,,JJ,July 3,ModelPA14
rPY00171,,C-56.0 H-102.0 N-7.0 O-13.0 S-1.0 P-1.0 No1.0,cPY00128_c + cpd00017_c --> cPY00129_c + cpd00067_c,,,S-Adenosyl-L-methionine H+,https://www.genome.jp/dbget-bin/www_bget?rn:R00178 <> 2.1.1.79 <> ,"Possibly trying to make this reaction, but the product doesn't have a formula. Decarboxylase doesn't seem appropriate for what is being produced. I think the enzyme linked is more appropriate. ",,,JJ,July 3,ModelPA14
rPY00172,charge 1.0,,cPY00121_c + cpd00080_c --> cPY00130_c + cpd00046_c + cpd00067_c,,,Glycerol-3-phosphate CMP H+,https://pubchem.ncbi.nlm.nih.gov/compound/131822710#section=Computed-Properties <>  ,PRECURSOR to other rPY0018X. Hydrogens are added to balance the reaction. This stems from the phosphate groups missing a hydrogen and having a hydrogen in the product.,,,JJ,July 2,ModelPA14
rPY00173,charge -2.0,,cPY00130_c + cpd00001_c --> cPY00131_c + cpd00009_c,,,H2O Phosphate,http://modelseed.org/biochem/reactions/rxn09088,"Very close analogue reaction, but it's a transport reaction <> hydrogen and charge related to pkas <> ",rxn09088,,JJ,July 3,ModelPA14
rPY00174,,C-53.0 H-94.0 N-6.0 O-15.0 S-1.0 P-1.0 No1.0,cPY00131_c + cpd00017_c --> cPY00132_c + cpd00067_c,,,S-Adenosyl-L-methionine H+,https://www.genome.jp/dbget-bin/www_bget?rn:R00178 <> 2.1.1.79 <> ,"Possibly trying to make this reaction, but the product doesn't have a formula. Decarboxylase doesn't seem appropriate for what is being produced. I think the enzyme linked is more appropriate. ",,,JJ,July 3,ModelPA14
rPY00175,charge 1.0,,cPY00126_c + cpd00080_c --> cPY00133_c + cpd00046_c + cpd00067_c,,,Glycerol-3-phosphate CMP H+,,"PRECURSOR to other rPY0018X. Hydrogens are added to balance the reaction. This stems from the phosphate groups missing a hydrogen and having a hydrogen in the product. This issue is prevalent in the model. pKa of phosphate groups is usually under 3 in media, so it should be negatively charged in near every circumstance. 2nd pKa is around 7. ",,,JJ,July 2,ModelPA14
rPY00176,charge -2.0,,cPY00133_c + cpd00001_c --> cPY00134_c + cpd00009_c,,,H2O Phosphate,http://www.jbc.org/content/286/7/5506/F1.expansion.html <> https://www.genome.jp/dbget-bin/www_bget?rn:R02029,"These reactions all relate to this paper, which has orthologous genes found in e coli membrane <> recommend ",,,JJ,July 3,ModelPA14
rPY00177,,C-15.0 H-22.0 N-6.0 O-5.0 S-1.0,cPY00134_c + cpd00017_c --> cPY00135_c + cpd00067_c,,,S-Adenosyl-L-methionine H+,https://www.genome.jp/dbget-bin/www_bget?rn:R00178 <> 2.1.1.79 <> ,"Possibly trying to make this reaction, but the product doesn't have a formula. Decarboxylase doesn't seem appropriate for what is being produced. I think the enzyme linked is more appropriate. ",,,JJ,July 3,ModelPA14
rPY00180,charge 1.0,C-161.0 H-293.0 N-6.0 O-39.0 S-1.0 P-4.0 No1.0,2.0 cPY00142_c + cpd00017_c --> cPY00138_c + 2.0 cpd00067_c,,,S-Adenosyl-L-methionine H+,https://www.genome.jp/dbget-bin/www_bget?rn:R00178 <> 2.1.1.79 <> ,"Possibly trying to make this reaction, but the product doesn't have a formula. Decarboxylase doesn't seem appropriate for what is being produced. I think the enzyme linked is more appropriate. ",,,JJ,July 3,ModelPA14
rPY00182,charge 1.0,C-177.0 H-321.0 N-6.0 O-39.0 S-1.0 P-4.0 No1.0,2.0 cPY00141_c + cpd00017_c --> cPY00140_c + 2.0 cpd00067_c,,,S-Adenosyl-L-methionine H+,https://www.genome.jp/dbget-bin/www_bget?rn:R00178 <> 2.1.1.79 <> ,"Possibly trying to make this reaction, but the product doesn't have a formula. Decarboxylase doesn't seem appropriate for what is being produced. I think the enzyme linked is more appropriate. ",,,JJ,July 3,ModelPA14
rPY00183,,H-2.0,2.0 cPY00134_c --> cPY00141_c + cpd00100_c,,,Glycerol,http://modelseed.org/biochem/reactions/rxn20527 <> http://www.pnas.org/content/109/41/16504#F1 <> https://www.kegg.jp/dbget-bin/www_bget?pau:PA14_36690+pau:PA14_71220 ,"After review, the missing hydrogens are located on the phosphate group attached to the reactants. Recommend adding these or removing hydrogens from the product. Depends on the isoelectric points of hydrogen. Other reaction similar, but have correct H's. After reviewing other papers, this reaction orthology is appropriate. It has direct overlap with the gene in Burk using Blast, 70%ish and very low E value. Due to phosphate group pKa's would recommend removing 2 hydrogen from the product and looking at the charge of the product",,,JJ,June 28,ModelPA14
rPY00221,,H1.0,cpd03831_c + cpd17058_c --> cpd00008_c + cpd17059_c,,,ADP-L-glycero-D-manno-heptose PA_core1_lipidA ADP PA_core2_lipidA,http://journals.sagepub.com/doi/pdf/10.1177/1753425909106436 <> http://jb.asm.org/content/179/11/3451.full.pdf+html,"May combine to form Kdo, which is 3-deoxy-D-manno-octulosonic acid in before breaking off. Look at 2nd article. ",rxn08711/rxn08710,,JJ,July 3,ModelPA14
rPY00222,,H1.0,cpd03831_c + cpd17054_c --> cpd00008_c + cpd17058_c,,,ADP-L-glycero-D-manno-heptose Pseudomonas aeruginosa KDO2-lipidA ADP PA_core1_lipidA,https://www.genome.jp/dbget-bin/www_bget?pau:PA14_66240 <> http://journals.sagepub.com/doi/pdf/10.1177/1753425909106436,"Wasn't able to find this exact associated reaction <> review may be helpful <> analgous reactions are similar, but not the same",rxn08711/rxn08710,,JJ,July 3,ModelPA14
rxn05003,,H-1.0,cJB00124_c + cpd00017_c <=> cJB00125_c + cpd00019_c,(1) cpd00017_c + (1) cpd02064_c <=> (1) cpd00019_c + (1) cpd01351_c,,S-Adenosyl-L-methionine S-Adenosyl-homocysteine,http://modelseed.org/biochem/reactions/rxn05003," cJB00124_c change to C53H79O4 , name 3-Demethylubiquinone-9 <> cpd01351_c replaces cJB00125_c with formula C54H82O4 charge 0",,,JJ,June 26,ModelPA14
rxn05176,charge -2.0,,cpd00001_c + cpd00002_c + cpd00268_e <=> cpd00008_c + cpd00009_c + cpd00067_c + cpd00268_c,cpd00001_c + cpd00002_c + cpd00268_e <=> cpd00008_c + cpd00009_c + cpd00067_c + cpd00268_c,,H2O ATP H2S2O3 ADP Phosphate H+ H2S2O3,on model seed DB,cpd00268_e has the wrong charge in the model file. It is 0 in the model. ,,,JJ,June 21,ModelPA14
rxn05470,charge -1.0,,cpd00067_e + cpd00139_e <=> cpd00067_c + cpd00139_c,,,H+ Glycolate H+ Glycolate,http://modelseed.org/biochem/reactions/rxn05470,cpd00139_e charge becomes -1,,,JJ,June 28,ModelPA14
rxn05484,charge -1.0,,cpd00067_e + cpd00142_e <=> cpd00067_c + cpd00142_c,cpd00067_e + cpd00142_e <=> cpd00067_c + cpd00142_c,,H+ Acetoacetate H+ Acetoacetate,http://modelseed.org/biochem/reactions/rxn05484,cpd00142_e change to charge -1,,,JJ,June 25,ModelPA14
rxn05551,charge 1.0,,cpd00067_e + cpd00162_e --> cpd00067_c + cpd00162_c,,,H+ Aminoethanol H+ Aminoethanol,http://modelseed.org/biochem/reactions/rxn05551,cpd00162_e charge change to +1 ,,,JJ,June 26,ModelPA14
rxn05683,charge -1.0,,cpd00067_e + cpd00211_e --> cpd00067_c + cpd00211_c,cpd00067_e + cpd00211_e --> cpd00067_c + cpd00211_c,,H+ Butyrate H+ Butyrate,http://modelseed.org/biochem/reactions/rxn05683,cpd00211_e change to charge -1,,,JJ,June 25,ModelPA14
rxn06831,charge -2.0,,cpd00017_c + cpd00067_c + cpd11425_c --> cpd00019_c + cpd11451_c,cpd00017_c + cpd00067_c + cpd11425_c --> cpd00019_c + cpd11451_c,,S-Adenosyl-L-methionine H+ 2dmmq7 S-Adenosyl-homocysteine mql7,http://modelseed.org/biochem/reactions/rxn06831,,,,JJ,June 25,ModelPA14
rxn10090,charge -2.0,,cpd00001_c + cpd00002_c + cpd03422_c <=> cpd00009_c + cpd00012_c + cpd03918_c,cpd00001_c + cpd00002_c + cpd03422_c <=> cpd00009_c + cpd00012_c + cpd03918_c + cpd00067_c,,H2O ATP Cobinamide Phosphate PPi Adenosyl cobinamide,http://modelseed.org/biochem/reactions/rxn10090,cpd03422_c formula change to C48H75CoN11O8<> cpd00012_c change formula to H-7P2 and charge -3 <> add  1 cpd00067 _c right side <>  ,,,JJ,June 22,ModelPA14
rxn10122,charge -9.0,H-9.0,cpd00004_c + 45.0 cpd00067_c + cpd15560_c --> cpd00003_c + 35.0 cpd00067_e + cpd15561_c,cpd00004_c + 4.5 cpd00067_c + cpd15560_c --> cpd00003_c + 3.5 cpd00067_e + cpd15561_c,,NADH H+ Ubiquinone-8 NAD H+ Ubiquinol-8,https://www.genome.jp/dbget-bin/www_bget?ec:1.6.5.3 / https://pubchem.ncbi.nlm.nih.gov/compound/5893#section=Melting-Point /,"Reaction bounds were set to 0, but anyway... reaction in KEGG is for catalyzing ubiqunone to ubiqunol in electron transport chain- this is for specific length ubiqunone-8; for some reason someone put ten extra hydrogens on this... added (1) H+  to products to balance rxn. Reaction made the same as in Github. Cpd15560 metabolite change formula to C49H74O4. Just changing the reaction fixes mass imbalance, but changing the metabolite formula creates H imbalance. This could be due to pKa's.... https://en.wikipedia.org/wiki/Nicotinamide_adenine_dinucleotide <---- states it is actually -1 and -2 at physiological pH. This is correct in modelseed. Thus just change the equation. ",,,JJ,June 20,ModelPA14
rxn10132,charge -1.0,,cpd00067_e + cpd01015_e <=> cpd00067_c + cpd01015_c,cpd00067_e + cpd01015_e <=> cpd00067_c + cpd01015_c,,H+ Cyanate H+ Cyanate,http://modelseed.org/biochem/reactions/rxn10132,"cyanate_e charge is not correct. It should be -1, but is 0.",,,JJ,June 22,ModelPA14
rxn10171,charge -1.0,,cpd00067_e + cpd00221_e <=> cpd00067_c + cpd00221_c,,,H+ D-Lactate H+ D-Lactate,http://modelseed.org/biochem/compounds/cpd00221,cpd00221_e charge becomes -1,,,JJ,June 28,ModelPA14
rxn10194,charge 2.0,C-40.0 H-62.0 N-8.0 O-21.0,cpd15661_c + cpd15665_c <=> cpd00286_c + cpd15667_c,cpd15661_c + cpd15666_c <=> cpd00286_c + cpd15667_c + cpd00067_c,,"Prenol-45n teichoic acid Peptidoglycan polymer (n subunits) Undecaprenylphosphate glycerol teichoic acid (n=45), linked, unsubstituted",http://modelseed.org/biochem/reactions/rxn10194,missing hydrogen. cpd000286 had updated formulas and charges. These were corrected for. cpd15666 (n-1 subunit) replaces cpd15665 (n subunit),,,JJ,June 22,ModelPA14
rxn10195,charge 2.0,C-40.0 H-62.0 N-8.0 O-21.0,cpd15662_c + cpd15665_c <=> cpd00286_c + cpd15669_c,cpd15662_c + cpd15666_c <=> cpd00286_c + cpd15669_c + cpd00067_c,,"Prenol-45n teichoic acid-glucose substituted Peptidoglycan polymer (n subunits) Undecaprenylphosphate glycerol teichoic acid (n=45), linked, glucose substituted",http://modelseed.org/biochem/reactions/rxn10195,missing hydrogen. cpd000286 had updated formulas and charges. These were corrected for. cpd15666 (n-1 subunit) replaces cpd15665 (n subunit),,,JJ,June 22,ModelPA14
